,b,a,Volume_máximo_atingido,Tempo_até_volume_máximo
0,1,,,
1,2,,,
2,3,,,
3,4,,,
4,5,,,
5,6,0.8687499999999998,22879.17990720808,4744.0
6,7,0.73125,22665.333440465984,4750.0
7,8,0.63125,22524.831798491625,4755.0
8,9,0.55625,22364.9491161235,4757.0
9,10,0.49375,22463.182939772025,4767.0
10,11,0.4437500000000001,22550.4773936773,4776.0
11,12,0.40625,22344.279360256885,4771.0
12,13,0.36875,22696.05091893545,4789.0
13,14,0.3437500000000001,22373.1765326132,4778.0
14,15,0.3187500000000001,22424.75561391404,4783.0
15,16,0.29375000000000007,22859.37039613822,4803.0
16,17,0.28125,22129.274157087693,4774.0
17,18,0.26875000000000004,21600.075226468045,4753.0
18,19,0.24375,22978.225537290295,4812.0
19,20,0.23125,22911.51018412312,4811.0
